Ordered By Time In (ms)

Method Name                                                     Calls       Time In   Time In Avg      Time Tot  Time Tot Avg      Calls In  Calls In Avg     Calls Tot Calls Tot Avg
API精灵.DataSet1.winapiRow.set_Id                                     0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.SetFun_dllNull                             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRowChangeEvent.get_Row                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRowChangeEvent..ctor                           0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.get_Id                                     0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.RemovewinapiRow                      0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.OnRowDeleting                        0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow..ctor                                      0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.set_Fun_dll                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.get_Fun_dll                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRowChangeEvent.get_Action                      0             0             0             0             0             0             0             0             0
API精灵.Form1.tiplist_KeyPress                                        0             0             0             0             0             0             0             0             0
API精灵.Form1.tiplist_MouseLeave                                      1             0             0             0             0             0             0             0             0
API精灵.Form1.tiplist_KeyDown                                         0             0             0             0             0             0             0             0             0
API精灵.Form1.Form1_Load                                              0             0             0             0             0             0             0             0             0
API精灵.Form1.tiplist_DoubleClick                                     0             0             0             0             0             0             0             0             0
API精灵.Form1.mysearch_KeyDown                                        0             0             0             0             0             0             0             0             0
API精灵.Form1.button1_Click                                           0             0             0             0             0             0             0             0             0
API精灵.Form1.Main                                                    0             0             0             0             0             0             0             0             0
API精灵.Form1.autocomp                                                0             0             0             0             0             0             0             0             0
API精灵.Form1.mysearch_TextChanged                                    0             0             0             0             0             0             0             0             0
API精灵.Form1.mydisp                                                  0             0             0             0             0             0             0             0             0

Ordered By Time In Avg (ms/call)

Method Name                                                     Calls       Time In   Time In Avg      Time Tot  Time Tot Avg      Calls In  Calls In Avg     Calls Tot Calls Tot Avg
API精灵.Form1.InitializeComponent                                     1           228           228           228           228             0             0             0             0
